d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota;;;;;
d__Eukaryota; p__Amoebozoa; c__Amoebozoa; o__Amoebozoa; f__Amoebozoa; g__Mycamoeba
d__Eukaryota; p__Amoebozoa; c__Amoebozoa; o__Amoebozoa; f__Amoebozoa; g__Mycamoeba
d__Eukaryota; p__Amoebozoa; c__Discosea; o__Dactylopodida; f__Dactylopodida; g__Angulamoeba
d__Eukaryota; p__Amoebozoa; c__Discosea; o__Dactylopodida; f__Dactylopodida; g__Angulamoeba
d__Eukaryota; p__Amoebozoa; c__Discosea; o__Dactylopodida; f__Dactylopodida; g__Angulamoeba
d__Eukaryota; p__Amoebozoa; c__Discosea; o__Dactylopodida; f__Dactylopodida; g__Angulamoeba
d__Eukaryota; p__Amoebozoa; c__Discosea; o__Dactylopodida; f__Dactylopodida; g__Dactylopodida
d__Eukaryota; p__Amoebozoa; c__Discosea; o__Vannellida; f__Vannellida;
d__Eukaryota; p__Amoebozoa; c__Discosea; o__Vannellida; f__Vannellida; g__uncultured
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Arcellinida; f__Arcellinida; g__Arcellinida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Arcellinida; f__Phryganellina; g__Cryptodifflugia
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Echinamoebida; f__Echinamoebida; g__Echinamoeba
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Echinamoebida; f__Echinamoebida; g__Echinamoeba
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Echinamoebida; f__Echinamoebida; g__Vermamoeba
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida;
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida;
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__BOLA868
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__BOLA868
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__BOLA868
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__BOLA868
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__BOLA868
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Euamoebida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Euamoebida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Euamoebida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Euamoebida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Euamoebida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Hartmannella
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Hartmannella
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Hartmannella
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Hartmannella
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Hartmannella
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Euamoebida; f__Euamoebida; g__Hartmannella
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Leptomyxida; f__Leptomyxida;
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Leptomyxida; f__Leptomyxida;
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Leptomyxida; f__Leptomyxida;
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Leptomyxida; f__Leptomyxida; g__Leptomyxida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Leptomyxida; f__Leptomyxida; g__Leptomyxida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Leptomyxida; f__Leptomyxida; g__Leptomyxida
d__Eukaryota; p__Amoebozoa; c__Tubulinea; o__Leptomyxida; f__Leptomyxida; g__Leptomyxida
d__Eukaryota; p__Annelida;;;;
